brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,year_sold,price_per_sqft
63571.0,for_sale,1499000.0,9.0,5.0,0.46,1414105.0,San Diego,California,92114.0,3390.0,2020-08-24,2020.0,442.18289085545723
39175.0,for_sale,389000.0,2.0,1.0,,452083.0,San Diego,California,92105.0,813.0,2011-12-02,2011.0,478.4747847478475
57567.0,for_sale,1199900.0,4.0,3.0,0.14,1219448.0,San Diego,California,92115.0,2160.0,2009-01-28,2009.0,555.5092592592592
23592.0,for_sale,653000.0,3.0,2.0,,68806.0,San Diego,California,92114.0,1287.0,1977-07-22,1977.0,507.3815073815074
11574.0,for_sale,725000.0,3.0,2.0,0.11,1626910.0,San Diego,California,92114.0,1128.0,2022-03-04,2022.0,642.7304964539007
43858.0,for_sale,330000.0,1.0,1.0,,1294382.0,San Diego,California,92115.0,668.0,2016-09-23,2016.0,494.01197604790417
109977.0,for_sale,680000.0,4.0,3.0,0.17,1431523.0,San Diego,California,92139.0,1601.0,2015-07-31,2015.0,424.73454091193
65290.0,for_sale,690000.0,3.0,2.0,0.16,1411906.0,San Diego,California,92139.0,1250.0,2018-08-17,2018.0,552.0
11574.0,for_sale,895000.0,5.0,2.0,0.26,1402351.0,San Diego,California,92114.0,2379.0,2003-11-26,2003.0,376.20849096258934
18819.0,for_sale,699000.0,3.0,1.0,0.17,1503433.0,San Diego,California,92115.0,1231.0,2015-04-30,2015.0,567.8310316815597
11574.0,for_sale,799900.0,5.0,3.0,,339568.0,San Diego,California,92154.0,1992.0,2022-02-10,2022.0,401.5562248995984
18819.0,for_sale,749000.0,4.0,3.0,0.13,1577613.0,San Diego,California,92154.0,1655.0,2007-06-13,2007.0,452.5679758308157
83088.0,for_sale,899995.0,5.0,3.0,0.13,103260.0,San Diego,California,92154.0,2300.0,2004-08-10,2004.0,391.3021739130435
42203.0,for_sale,849000.0,3.0,3.0,0.16,1400964.0,San Diego,California,92114.0,1545.0,2022-01-26,2022.0,549.5145631067961
109978.0,for_sale,829000.0,2.0,1.0,0.09,1301016.0,San Diego,California,92115.0,1046.0,2019-07-19,2019.0,792.5430210325047
10340.0,for_sale,580000.0,4.0,3.0,0.03,443510.0,San Diego,California,92139.0,1552.0,2018-07-18,2018.0,373.7113402061856
